ZipCode,YoY_2025,Exposure_2025,YoY_2024,Exposure_2024,YoY_2023,Exposure_2023,YoY_2022,Exposure_2022,YoY_2021,Exposure_2021
95634,24%,669701845,33%,542062696,13%,408059472,21%,360385432,,297700966
95635,21%,286685477,28%,237764128,11%,185863619,24%,167776119,,135732389
95636,15%,108637194,44%,94101963,-1%,65224130,-33%,65896163,,98894650
95651,24%,133508873,44%,107566840,40%,74868090,10%,53396366,,48634874
95664,15%,298976516,17%,259103245,22%,222194819,6%,181868271,,172284328
95667,21%,7076168011,40%,5825607869,19%,4164405531,17%,3487052986,,2974648168
95672,24%,823455393,38%,662469327,43%,481691329,26%,336462447,,267720396
95682,27%,2926031245,66%,2306152170,81%,1387787967,27%,768082735,,605248694
95684,11%,621751718,16%,561696691,29%,485651585,6%,375953825,,355730955
95709,18%,1057738240,19%,894868199,12%,752298186,13%,672288807,,597023416
95720,10%,80535443,4%,73312535,15%,70481403,7%,61305323,,57325877
95721,-4%,33655175,27%,34955099,-3%,27521699,-22%,28351718,,36273201
95726,15%,2171254121,16%,1884592852,11%,1631486084,14%,1467460713,,1283964633
95735,22%,80624913,11%,65834410,27%,59394616,-11%,46848572,,52807466
95762,84%,2582934593,125%,1404739825,71%,624175916,28%,365156002,,285793672
96142,23%,1043531673,47%,848976358,94%,578229060,56%,298375170,,191110172
96150,19%,5694209083,31%,4783124758,45%,3640070509,31%,2512784011,,1922491089
93210,109%,36579142,-9%,17539721,63%,19376400,23%,11872002,,9638137
93234,485%,2707813,-24%,462787,8%,609996,-59%,563660,,1380735
93242,35%,1139663,213%,843300,0%,269500,-100%,-,,274793
93602,13%,417990414,16%,368509825,10%,318334478,17%,289076560,,246243349
93606,0%,6414175,0%,6397451,0%,-,0%,-,,-
93608,177%,609676,-70%,220470,96%,725746,101%,370225,,183930
93609,47%,8347246,75%,5668652,-12%,3233133,37%,3656271,,2663053
93611,69%,22404985,166%,13282394,58%,4985344,35%,3155149,,2335115
93612,104%,27624685,157%,13542893,159%,5270772,64%,2037839,,1245637
93616,-44%,953297,194%,1702673,-42%,579245,0%,1000500,,-
93619,72%,512820393,58%,297707393,79%,188709832,140%,105699293,,44103870
93621,0%,19006082,12%,19001886,57%,16946900,4%,10793205,,10420645
93622,-3%,24871672,197%,25520448,158%,8598989,107%,3336379,,1614419
93624,-35%,370844,0%,574011,0%,-,0%,-,,-
93625,150%,8295679,663%,3316477,-70%,434607,139%,1458606,,611550
93626,44%,217046948,80%,151212928,39%,83979013,85%,60337143,,32654172
93627,0%,-,0%,-,0%,-,0%,-,,-
93628,31%,102683798,14%,78455863,50%,69081171,48%,46062421,,31211809
93630,10%,15166661,7%,13808961,24%,12922416,252%,10449590,,2966394
93631,98%,6993896,26%,3534515,21%,2806315,-43%,2325478,,4099430
93633,18%,49882874,13%,42445244,20%,37491833,86%,31221214,,16753276
93634,19%,105981570,14%,89238449,4%,78433396,0%,75490073,,-
93640,0%,30820065,962%,30788578,102%,2899963,-33%,1436607,,2128495
93641,8%,33374294,3%,30793684,40%,29841879,28%,21356240,,16733901
93646,66%,7662649,30%,4613258,-21%,3555252,50%,4517538,,3010109
93648,526%,7678124,0%,1225750,0%,-,0%,-,,-
93650,210%,17906163,938%,5774142,-15%,556503,35%,657526,,487293
93651,21%,160727216,50%,132872081,45%,88814845,13%,61426667,,54358093
93652,0%,-,0%,-,-100%,-,6%,84788,,79980
93654,21%,27067899,114%,22306212,25%,10437870,99%,8340311,,4200176
93656,25%,6107023,69%,4894568,18%,2896671,-13%,2464156,,2827007
93657,62%,99160775,53%,61103327,76%,39868595,64%,22694808,,13841588
93660,44%,3554519,63%,2471473,881%,1512166,9%,154072,,141610
93662,127%,22660772,202%,9961546,30%,3302355,32%,2542663,,1921502
93664,16%,1642050578,12%,1413429431,13%,1266299010,6%,1120349435,,1058521786
93667,11%,182902439,7%,165135447,33%,154232263,43%,115889930,,81275636
93668,170%,1539874,179%,570200,0%,204700,0%,204700,,204700
93675,23%,208799992,26%,169469026,78%,134917749,166%,75629709,,28417403
93701,60%,28323244,113%,17674164,31%,8301007,14%,6350683,,5574441
93702,127%,93032660,72%,40929377,32%,23852741,25%,18022269,,14434619
93703,111%,45493094,184%,21604439,11%,7605666,98%,6854773,,3456983
93704,62%,24048201,173%,14870003,-5%,5444545,-5%,5715577,,6002648
93705,100%,28620407,322%,14339363,30%,3398566,-20%,2617206,,3252066
93706,45%,74647117,107%,51334156,46%,24771051,51%,16971414,,11240618
93710,34%,22479561,537%,16728103,283%,2627582,-27%,685765,,944233
93711,18%,49155330,314%,41653130,17%,10059227,102%,8571096,,4246808
93720,52%,26734528,545%,17645631,1493%,2736750,-84%,171748,,1086030
93721,-42%,25355660,267%,43618838,64%,11890668,636%,7257509,,985940
93722,65%,73191698,86%,44454376,187%,23929196,22%,8351188,,6844851
93723,64%,10978256,-28%,6713663,229%,9382261,-24%,2849829,,3746877
93725,55%,45346079,26%,29255879,45%,23142039,67%,15947661,,9552783
93726,145%,82052445,186%,33469196,157%,11717744,9%,4554060,,4193591
93727,149%,112650150,381%,45164404,58%,9393016,23%,5950094,,4823840
93728,30%,35524560,145%,27429044,-20%,11214336,20%,13977642,,11615996
93730,492%,40310827,1529%,6808766,-56%,417885,8%,958549,,888836
93737,21%,33374228,756%,27609298,3%,3227239,25%,3139535,,2504540
95920,0%,-,-100%,-,0%,221000,0%,-,,-
95939,-9%,7401214,15%,8158989,-14%,7088456,242%,8263088,,2419337
95951,-26%,1181284,94%,1587205,0%,817250,0%,-,,-
95963,72%,23969925,45%,13931870,45%,9626134,51%,6629271,,4387299
95988,64%,4431527,5%,2700325,185%,2581567,31%,905194,,688630
95501,129%,139660837,220%,60943802,453%,19063118,-30%,3446578,,4912608
95503,118%,280216430,122%,128734351,88%,58117440,117%,30832922,,14240856
95511,-8%,5791283,-6%,6276014,-33%,6646046,38%,9858139,,7163733
95514,-7%,7867260,-27%,8437245,6%,11491674,167%,10809013,,4047984
95519,67%,183076688,134%,109462940,177%,46689059,116%,16883789,,7801927
95521,75%,205418696,133%,117404276,88%,50460203,31%,26803964,,20420644
95524,46%,39689174,141%,27239297,100%,11290475,180%,5649963,,2015398
95525,31%,37933705,53%,28916978,16%,18842439,74%,16183840,,9303015
95528,25%,30131940,75%,24027974,20%,13701870,80%,11408029,,6339562
95536,31%,30194420,96%,23112364,-7%,11793385,59%,12721754,,8024795
95540,86%,119632122,131%,64311904,92%,27804406,21%,14472248,,11993061
95542,4%,203423755,23%,196116909,17%,159511971,3%,136752171,,133333946
95546,26%,18267203,23%,14463063,35%,11740380,188%,8723617,,3025709
95547,79%,11487253,1022%,6431064,-69%,573000,91%,1825812,,956250
95549,12%,44270263,59%,39649549,42%,24917772,119%,17555146,,8026842
95550,-4%,15824109,4%,16442323,12%,15825711,62%,14150881,,8728875
95551,24%,17363557,64%,13982499,207%,8518814,44%,2771306,,1930660
95554,6%,82129172,27%,77625984,9%,61093864,11%,55844113,,50086236
95555,13%,8850374,96%,7844326,-8%,3996996,227%,4321681,,1320332
95556,23%,27766976,-8%,22529996,38%,24604537,56%,17842564,,11427457
95558,-6%,20812491,12%,22078395,23%,19716114,18%,16092618,,13687985
95560,13%,87276313,4%,77427558,20%,74741908,42%,62535255,,43952443
95562,101%,46793983,253%,23261364,63%,6594560,76%,4047580,,2294966
95564,56%,4302633,220%,2765278,0%,863100,0%,-,,-
95565,49%,23856359,83%,16061732,62%,8779581,1111%,5415909,,447211
95569,-39%,4773082,-16%,7883383,46%,9414454,86%,6458128,,3479446
95570,75%,99366997,79%,56847537,138%,31713105,150%,13323757,,5328090
95573,23%,174749575,35%,142631750,45%,105307059,16%,72560196,,62373927
95589,23%,123586854,38%,100765798,53%,72847427,-1%,47749726,,48173919
92227,20%,49935660,176%,41546185,38%,15042355,17%,10870424,,9287310
92231,71%,102901331,85%,60057458,33%,32504243,9%,24524481,,22453924
92233,68%,6922282,154%,4112403,10%,1619908,345%,1473391,,331466
92243,63%,143476275,94%,88286982,43%,45496829,27%,31885049,,25056204
92249,37%,5568888,90%,4063533,323%,2139606,-40%,506296,,840812
92250,221%,28552800,139%,8882862,62%,3715941,-62%,2289329,,5989087
92251,71%,29757112,132%,17380886,14%,7478820,-6%,6545262,,6976042
92257,59%,6772321,88%,4256883,165%,2259706,6%,854105,,809127
92259,265%,1423596,6%,389574,-55%,366643,5%,809680,,772239
92266,158%,3207742,0%,1244730,0%,-,0%,-,,-
92273,-18%,3096548,0%,3775682,0%,-,0%,-,,-
92275,20%,681810,0%,569611,0%,-,0%,-,,-
92281,8%,1717020,50%,1589527,74%,1061803,10%,608862,,554086
92283,37%,4728951,59%,3449202,51%,2175970,5%,1444843,,1379714
92384,0%,806450,0%,-,0%,-,0%,-,,-
92389,61%,680200,0%,422750,0%,-,0%,-,,-
93513,33%,13003288,143%,9808245,773%,4034563,-7%,461998,,494540
93514,43%,181597485,137%,127030378,108%,53654552,83%,25783275,,14068849
93526,223%,8904796,134%,2753700,-9%,1175029,-32%,1289267,,1885723
93545,38%,21128530,87%,15313600,10%,8204883,27%,7481121,,5892941
93549,62%,2757695,0%,1697700,0%,-,0%,-,,-
93203,133%,74573267,199%,31963895,69%,10673151,26%,6309882,,4991036
93205,26%,125617149,31%,99585711,32%,76104375,20%,57796022,,48015480
93206,45%,8268168,188%,5720218,71%,1988200,180%,1165430,,415879
93215,32%,45117275,122%,34147564,65%,15399076,-1%,9322248,,9397862
